glass_ID,SiO2,Al2O3,B2O3,P2O5,ZrO2,Na2O,CaO,SrO,Li2O,K2O,MgO,BaO,ZnO,Y2O3,nsize,density
glass_1,55,1,19,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_2,55,2,18,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_3,55,3,17,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_4,55,4,16,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_5,55,5,15,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_6,55,6,14,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_7,55,7,13,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_8,55,8,12,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_9,55,9,11,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_10,55,10,10,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_11,55,11,9,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_12,55,12,8,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_13,55,13,7,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_14,55,14,6,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_15,55,15,5,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_16,55,16,4,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_17,55,17,3,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_18,55,18,2,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_19,55,19,1,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
glass_20,55,20,0,0,0,25,0,0,0,0,0,0,0,0,10006,2.6
